run, subrun, event, track-id, start wire, start time-tick, end wire, end time-tick 
5947, 4, 203, 7, 2597, 2414.63, 2607, 2482.19
5947, 10, 506, 2, 2685, 4406.68, 2689, 4448.26
5947, 15, 769, 5, 1280, 4253.04, 1356, 4525.68
5947, 16, 839, 11, 3239, 3940.77, 3250, 3977.18
5947, 18, 941, 5, 3392, 928.81, 3407, 1034.21
5947, 31, 1566, 5, 2114, 1864.16, 2115, 1866.52
5947, 44, 2247, 5, 538, 5251.56, 541, 5346.16
5947, 45, 2280, 8, 1700, 2614.88, 1702, 2615.38
5947, 60, 3047, 7, 2466, 4125.87, 2527, 4132.71
5947, 75, 3773, 8, 2436, 3833.44, 2438, 3851.14
5947, 75, 3779, 5, 32, 4475.24, 83, 4730.33
5947, 82, 4128, 10, 1858, 3369.45, 1865, 3396.13
5947, 87, 4359, 4, 1953, 2648.64, 1971, 2695.96
5947, 90, 4524, 0, 1393, 5067.14, 1514, 5281.02
5947, 95, 4752, 2, 85, 3508.73, 115, 3573.76
5947, 100, 5020, 8, 778, 4739.13, 792, 4772.94
5947, 103, 5179, 5, 1623, 3789.71, 1630, 3944.04
5947, 107, 5381, 3, 2602, 1994.76, 2652, 2129
5947, 126, 6337, 6, 921, 2245.5, 950, 2578.11
5947, 128, 6436, 2, 2132, 3349.33, 2136, 3423.82
5947, 134, 6710, 6, 3057, 2644.46, 3066, 2650.49
5947, 137, 6897, 4, 668, 3181.77, 677, 3203.16
5947, 156, 7810, 0, 1132, 2230.36, 1134, 2275.28
5947, 157, 7867, 8, 399, 4040.98, 433, 4320.7
5947, 162, 8122, 5, 2065, 3379.09, 2084, 3499.32
5947, 163, 8196, 3, 1405, 5245.86, 1416, 5269.91
5947, 164, 8201, 5, 2145, 3579.3, 2146, 3678.38
5947, 171, 8583, 7, 413, 4491.07, 432, 4535.59
5947, 174, 8747, 5, 2712, 2342.35, 2725, 2461
5947, 183, 9169, 4, 3216, 2788.76, 3221, 2789
5948, 1, 69, 5, 1363, 3224.13, 1406, 3262.88
5948, 1, 69, 6, 1440, 3326.18, 1459, 3391.05
5948, 11, 562, 10, 3036, 2024.36, 3042, 2072.12
5948, 33, 1666, 14, 1355, 5302.17, 1376, 5319.64
